"Word"	"Pronunciation"	"Audio"	"Parts Of Speech"	"Meaning"	"Examples"	"Picture"	"Word Reference"
"defeatist"	"defeatist.ipa"	"defeatist.mp3"	"ADJ."	"resigned to defeat; accepting defeat as a natural outcome"	"If you maintain your defeatist attitude, you will never succeed.also N"	"defeatist.png"	"https://www.wordreference.com/definition/defeatist"
"defection"	"defection.ipa"	"defection.mp3"	"N."	"desertion"	"The children, who had made him an idol, were hurt most by his defection from our cause"	"defection.png"	"https://www.wordreference.com/definition/defection"
"defer"	"defer.ipa"	"defer.mp3"	"V."	"delay till later; exempt temporarily"	"In wartime, some young men immediately volunteer to serve; others defer making plans until they hear from their draft boards.During the Vietnam War, many young men, hoping to be deferred, requested student deferments"	"defer.png"	"https://www.wordreference.com/definition/defer"
"defer(2)"	"defer.ipa"	"defer.mp3"	"V."	"give in respectfully; submit"	"When it comes to making decisions about purchasing software, we must defer to Michael, our computer guru; he has the final word.Michael, however, can defer these questions to no one; only he can decide"	"defer.png"	"https://www.wordreference.com/definition/defer"
"deference"	"deference.ipa"	"deference.mp3"	"N."	"courteous regard for another’s wish"	"In deference to the minister&rsquo;s request, please do not take photographs during the wedding service"	"deference.png"	"https://www.wordreference.com/definition/deference"
"defiance"	"defiance.ipa"	"defiance.mp3"	"N."	"refusal to yield; resistance"	"When John reached the &ldquo;terrible two&rsquo;s,&rdquo; he responded to every parental request with howls of defiance.defy, v.defiant, ADJ"	"defiance.png"	"https://www.wordreference.com/definition/defiance"
"defile"	"defile.ipa"	"defile.mp3"	"V."	"pollute; profane"	"The hoodlums defiled the church with their scurrilous writing"	"defile.png"	"https://www.wordreference.com/definition/defile"
"definitive"	"definitive.ipa"	"definitive.mp3"	"ADJ."	"most reliable or complete"	"Carl Sandburg&rsquo;s Abraham Lincoln may be regarded as the definitive work on the life of the Great Emancipator"	"definitive.png"	"https://www.wordreference.com/definition/definitive"
"deflect"	"deflect.ipa"	"deflect.mp3"	"V."	"turn aside"	"His life was saved when his cigarette case deflected the bullet"	"deflect.png"	"https://www.wordreference.com/definition/deflect"
"defray"	"defray.ipa"	"defray.mp3"	"V."	"provide for the payment of"	"Her employer offered to defray the costs of her postgraduate education"	"defray.png"	"https://www.wordreference.com/definition/defray"
"deft"	"deft.ipa"	"deft.mp3"	"ADJ."	"neat; skillful"	"The deft waiter uncorked the champagne without spilling a drop"	"deft.png"	"https://www.wordreference.com/definition/deft"
"defunct"	"defunct.ipa"	"defunct.mp3"	"ADJ."	"dead; no longer in use or existence"	"The lawyers sought to examine the books of the defunct corporation"	"defunct.png"	"https://www.wordreference.com/definition/defunct"
"degenerate"	"degenerate.ipa"	"degenerate.mp3"	"V."	"become worse; deteriorate"	"As the fight dragged on, the champion&rsquo;s style degenerated until he could barely keep on his feet"	"degenerate.png"	"https://www.wordreference.com/definition/degenerate"
"degradation"	"degradation.ipa"	"degradation.mp3"	"N."	"humiliation; debasement; degeneration"	"Some secretaries object to fetching the boss a cup of coffee because they resent the degradation of being made to perform such lowly tasks.degrade, v"	"degradation.png"	"https://www.wordreference.com/definition/degradation"
"dehydrate"	"dehydrate.ipa"	"dehydrate.mp3"	"V."	"remove water from; dry out"	"Running under a hot sun quickly dehydrates the body; joggers avoid dehydration by carrying water bottles and drinking from them frequently"	"dehydrate.png"	"https://www.wordreference.com/definition/dehydrate"
"deify"	"deify.ipa"	"deify.mp3"	"V."	"turn into a god; idolize"	"Admire the rock star all you want; just don&rsquo;t deify him"	"deify.png"	"https://www.wordreference.com/definition/deify"
"deign"	"deign.ipa"	"deign.mp3"	"V."	"condescend; stoop"	"The celebrated fashion designer would not deign to speak to a mere seamstress; his overburdened assistant had to convey the master&rsquo;s wishes to the lowly workers assembling his great designs"	"deign.png"	"https://www.wordreference.com/definition/deign"
"delete"	"delete.ipa"	"delete.mp3"	"V."	"erase; strike out"	"If you delete this paragraph, the composition will have more appeal"	"delete.png"	"https://www.wordreference.com/definition/delete"
"deleterious"	"deleterious.ipa"	"deleterious.mp3"	"ADJ."	"harmful"	"If you believe that smoking is deleterious to your health (and the Surgeon General surely does), then quit!"	"deleterious.png"	"https://www.wordreference.com/definition/deleterious"
"deliberate"	"deliberate.ipa"	"deliberate.mp3"	"V."	"consider; ponder"	"Offered the new job, she asked for time to deliberate before she made her decision"	"deliberate.png"	"https://www.wordreference.com/definition/deliberate"
"delineate"	"delineate.ipa"	"delineate.mp3"	"V."	"portray; depict; sketch"	"Using only a few descriptive phrases, Austen delineates the character of Mr.Collins so well that we can predict his every move.delineation, N"	"delineate.png"	"https://www.wordreference.com/definition/delineate"
"delirium"	"delirium.ipa"	"delirium.mp3"	"N."	"mental disorder marked by confusion"	"In his delirium, the drunkard saw pink panthers and talking pigs.Perhaps he wasn&rsquo;t delirious: he might just have wandered into a movie house"	"delirium.png"	"https://www.wordreference.com/definition/delirium"
"delude"	"delude.ipa"	"delude.mp3"	"V."	"deceive"	"The mistress deludes herself into believing that her lover will leave his wife and marry her"	"delude.png"	"https://www.wordreference.com/definition/delude"
"deluge"	"deluge.ipa"	"deluge.mp3"	"N."	"flood; rush"	"When we advertised the position we received a deluge of applications.also v"	"deluge.png"	"https://www.wordreference.com/definition/deluge"
"delusion"	"delusion.ipa"	"delusion.mp3"	"N."	"false belief; hallucination"	"Don suffers from delusions of grandeur: he thinks he&rsquo;s a world-famous author when he&rsquo;s published just one paperback book"	"delusion.png"	"https://www.wordreference.com/definition/delusion"
"delusive"	"delusive.ipa"	"delusive.mp3"	"ADJ."	"deceptive; raising vain hopes"	"Do not raise your hopes on the basis of his delusive promises"	"delusive.png"	"https://www.wordreference.com/definition/delusive"
"delve"	"delve.ipa"	"delve.mp3"	"V."	"dig; investigate"	"Delving into old books and manuscripts is part of a researcher&rsquo;s job"	"delve.png"	"https://www.wordreference.com/definition/delve"
"demagogue"	"demagogue.ipa"	"demagogue.mp3"	"N."	"person who appeals to people’s prejudice; false leader"	"He was accused of being a demagogue because he made promises that aroused futile hopes in his listeners"	"demagogue.png"	"https://www.wordreference.com/definition/demagogue"
"demean"	"demean.ipa"	"demean.mp3"	"V."	"degrade; humiliate"	"Standing on his dignity, he refused to demean himself by replying to the offensive letter.If you truly believed in the dignity of labor, you would not think it would demean you to work as a janitor"	"demean.png"	"https://www.wordreference.com/definition/demean"
"demeanor"	"demeanor.ipa"	"demeanor.mp3"	"N."	"behavior; bearing"	"His sober demeanor quieted the noisy revelers"	"demeanor.png"	"https://www.wordreference.com/definition/demeanor"
"demented"	"demented.ipa"	"demented.mp3"	"ADJ."	"insane"	"Doctor Demento was a radio personality who liked to act as if he were truly demented.If you&rsquo;re demented, your mental state is out of whack; in other words, you&rsquo;re wacky"	"demented.png"	"https://www.wordreference.com/definition/demented"
"demise"	"demise.ipa"	"demise.mp3"	"N."	"death"	"Upon the demise of the dictator, a bitter dispute about succession to power developed"	"demise.png"	"https://www.wordreference.com/definition/demise"
"demographic"	"demographic.ipa"	"demographic.mp3"	"ADJ."	"related to population balance"	"In conducting a survey, one should take into account demographic trends in the region.demography, N"	"demographic.png"	"https://www.wordreference.com/definition/demographic"
"demolition"	"demolition.ipa"	"demolition.mp3"	"N."	"destruction"	"One of the major aims of the air force was the complete demolition of all means of transportation by the bombing of rail lines and terminals.demolish, v"	"demolition.png"	"https://www.wordreference.com/definition/demolition"
"demoniac"	"demoniac.ipa"	"demoniac.mp3"	"ADJ."	"fiendish"	"Gleeful at the success of his fiendish plot, the Joker howled with demoniac laughter.demon, N"	"demoniac.png"	"https://www.wordreference.com/definition/demoniac"
"demur"	"demur.ipa"	"demur.mp3"	"N."	"objection; protest"	"Michelangelo regularly denied that Leonardo Da Vinci had influenced him, and critics have usually accepted his statements without demur"	"demur.png"	"https://www.wordreference.com/definition/demur"
"demur(2)"	"demur.ipa"	"demur.mp3"	"V."	"object (because of doubts, scruples); hesitate"	"When offered a post on the board of directors, David demurred: he had scruples about taking on the job because he was unsure he could handle it in addition to his other responsibilities"	"demur.png"	"https://www.wordreference.com/definition/demur"
"demure"	"demure.ipa"	"demure.mp3"	"ADJ."	"grave; serious; coy"	"She was demure and reserved, a nice modest girl whom any young man would be proud to take home to his mother"	"demure.png"	"https://www.wordreference.com/definition/demure"
"denigrate"	"denigrate.ipa"	"denigrate.mp3"	"V."	"blacken"	"All attempts to denigrate the character of our late president have failed; the people still love him and cherish his memory"	"denigrate.png"	"https://www.wordreference.com/definition/denigrate"
"denizen"	"denizen.ipa"	"denizen.mp3"	"N."	"inhabitant or resident; regular visitor"	"In The Untouchables, Eliot Ness fights Al Capone and the other denizens of Chicago&rsquo;s underworld.Ness&rsquo;s fight against corruption was the talk of all the denizens of the local bars"	"denizen.png"	"https://www.wordreference.com/definition/denizen"
"denotation"	"denotation.ipa"	"denotation.mp3"	"N."	"meaning; distinguishing by name"	"A dictionary will always give us the denotation of a word; frequently, it will also give us its connotation"	"denotation.png"	"https://www.wordreference.com/definition/denotation"
"denouement"	"denouement.ipa"	"denouement.mp3"	"N."	"outcome; final development of the plot of a play or other literary work"	"The play was childishly written; the denouement was obvious to sophisticated theatergoers as early as the middle of the first act"	"denouement.png"	"https://www.wordreference.com/definition/denouement"
"denounce"	"denounce.ipa"	"denounce.mp3"	"V."	"condemn; criticize"	"The reform candidate denounced the corrupt city officers for having betrayed the public&rsquo;s trust.denunciation, N"	"denounce.png"	"https://www.wordreference.com/definition/denounce"
"depict"	"depict.ipa"	"depict.mp3"	"V."	"portray"	"In this sensational expos&eacute;, the author depicts Beatle John Lennon as a drug-crazed neurotic.Do you question the accuracy of this depiction of Lennon?"	"depict.png"	"https://www.wordreference.com/definition/depict"
"deplete"	"deplete.ipa"	"deplete.mp3"	"V."	"reduce; exhaust"	"We must wait until we deplete our present inventory before we order replacements"	"deplete.png"	"https://www.wordreference.com/definition/deplete"
"deplore"	"deplore.ipa"	"deplore.mp3"	"V."	"regret"	"Although I deplore the vulgarity of your language, I defend your right to express yourself freely"	"deplore.png"	"https://www.wordreference.com/definition/deplore"
"deploy"	"deploy.ipa"	"deploy.mp3"	"V."	"spread out [troops] in an extended though shallow battle line"	"The general ordered the battalion to deploy in order to meet the enemy offensive"	"deploy.png"	"https://www.wordreference.com/definition/deploy"
"depose"	"depose.ipa"	"depose.mp3"	"V."	"dethrone; remove from office"	"The army attempted to depose the king and set up a military government"	"depose.png"	"https://www.wordreference.com/definition/depose"
"depravity"	"depravity.ipa"	"depravity.mp3"	"N."	"extreme corruption; wickedness"	"The depravity of Caligula&rsquo;s behavior eventually sickened even those who had willingly participated in his earlier, comparatively innocent orgies.deprave, v"	"depravity.png"	"https://www.wordreference.com/definition/depravity"
"deprecate"	"deprecate.ipa"	"deprecate.mp3"	"V."	"express disapproval of; protest against; belittle"	"A firm believer in old-fashioned courtesy, Miss Post deprecated the modern tendency to address new acquaintances by their first names.deprecatory, ADJ"	"deprecate.png"	"https://www.wordreference.com/definition/deprecate"
"depreciate"	"depreciate.ipa"	"depreciate.mp3"	"V."	"lessen in value"	"If you neglect this property, it will depreciate"	"depreciate.png"	"https://www.wordreference.com/definition/depreciate"
"depredation"	"depredation.ipa"	"depredation.mp3"	"N."	"plundering"	"After the depredations of the invaders, the people were penniless"	"depredation.png"	"https://www.wordreference.com/definition/depredation"
"derange"	"derange.ipa"	"derange.mp3"	"deranged"	"v"	"Hamlet&rsquo;s cruel rejection deranged poor Ophelia; in her madness, she drowned herself"	"derange.png"	"https://www.wordreference.com/definition/derange"
"derelict"	"derelict.ipa"	"derelict.mp3"	"ADJ."	"abandoned; negligent"	"The derelict craft was a menace to navigation.Whoever abandoned it in the middle of the harbor was derelict in living up to his responsibilities as a boat owner.also N"	"derelict.png"	"https://www.wordreference.com/definition/derelict"
"deride"	"deride.ipa"	"deride.mp3"	"V."	"ridicule; make fun of"	"The critics derided his pretentious dialogue and refused to consider his play seriously.Despite the critics&rsquo; derision, however, audiences were moved by the play, cheering its unabashedly sentimental conclusion.derisive, ADJ"	"deride.png"	"https://www.wordreference.com/definition/deride"
"derivative"	"derivative.ipa"	"derivative.mp3"	"ADJ."	"unoriginal; obtained from another source"	"Although her early poetry was clearly derivative in nature, the critics thought she had promise and eventually would find her own voice"	"derivative.png"	"https://www.wordreference.com/definition/derivative"
"derogatory"	"derogatory.ipa"	"derogatory.mp3"	"ADJ."	"expressing a low opinion"	"Because the word Eskimo has come under strong attack in recent years for its supposedly derogatory connotations, many Americans today either avoid the term or feel uneasy using it"	"derogatory.png"	"https://www.wordreference.com/definition/derogatory"
"descry"	"descry.ipa"	"descry.mp3"	"V."	"catch sight of"	"In the distance, we could barely descry the enemy vessels"	"descry.png"	"https://www.wordreference.com/definition/descry"
"desecrate"	"desecrate.ipa"	"desecrate.mp3"	"V."	"profane; violate the sanctity of"	"Shattering the altar and trampling the holy objects underfoot, the invaders desecrated the sanctuary"	"desecrate.png"	"https://www.wordreference.com/definition/desecrate"
"desiccate"	"desiccate.ipa"	"desiccate.mp3"	"V."	"dry up"	"A tour of this smokehouse will give you an idea of how the pioneers used to desiccate food in order to preserve it"	"desiccate.png"	"https://www.wordreference.com/definition/desiccate"
"desolate"	"desolate.ipa"	"desolate.mp3"	"ADJ."	"unpopulated; joyless"	"After six months in the crowded, bustling metropolis, David was so sick of people that he was ready to head for the most desolate patch of wilderness he could find"	"desolate.png"	"https://www.wordreference.com/definition/desolate"
"desolate(2)"	"desolate.ipa"	"desolate.mp3"	"V."	"rob of joy; lay waste to; forsake"	"The bandits desolated the countryside, burning farms and carrying off the harvest"	"desolate.png"	"https://www.wordreference.com/definition/desolate"
"despise"	"despise.ipa"	"despise.mp3"	"V."	"look on with scorn; regard as worthless or distasteful"	"Mr.Bond, I despise spies; I look down on them as mean, despicable, honorless men, whom I would wipe from the face of the earth with as little concern as I would scrape dog droppings from the bottom of my shoe"	"despise.png"	"https://www.wordreference.com/definition/despise"
"despoil"	"despoil.ipa"	"despoil.mp3"	"despoiled"	"v"	"Seeking plunder, the raiders despoiled the village, carrying off any valuables they found"	"despoil.png"	"https://www.wordreference.com/definition/despoil"
"despondent"	"despondent.ipa"	"despondent.mp3"	"ADJ."	"depressed; gloomy"	"To the distress of his parents, William became seriously despondent after he broke up with Jan.despondency, N"	"despondent.png"	"https://www.wordreference.com/definition/despondent"
"despot"	"despot.ipa"	"despot.mp3"	"N."	"tyrant; harsh, authoritarian ruler"	"How could a benevolent king turn overnight into a despot? despotism, N"	"despot.png"	"https://www.wordreference.com/definition/despot"
"destitute"	"destitute.ipa"	"destitute.mp3"	"ADJ."	"extremely poor"	"Because they had no health insurance, the father&rsquo;s costly illness left the family destitute.destitution, N"	"destitute.png"	"https://www.wordreference.com/definition/destitute"
"desuetude"	"desuetude.ipa"	"desuetude.mp3"	"N."	"state of disuse"	"Overshadowed by the newly popular waltzes and cotillions, the English country dances of Jane Austen&rsquo;s time fell into desuetude until they were rediscovered during the folk dance revival of the early twentieth century"	"desuetude.png"	"https://www.wordreference.com/definition/desuetude"
"desultory"	"desultory.ipa"	"desultory.mp3"	"ADJ."	"aimless; haphazard; digressing at random"	"In prison Malcolm X set himself the task of reading straight through the dictionary; to him, reading was purposeful, not desultory"	"desultory.png"	"https://www.wordreference.com/definition/desultory"
"detached"	"detached.ipa"	"detached.mp3"	"ADJ."	"emotionally removed; calm and objective; physically separate"	"A psychoanalyst must maintain a detached point of view and stay uninvolved with her patients&rsquo; personal lives.To a child growing up in an apartment or a row house, to live in a detached house was an unattainable dream.(secondary meaning) detachment, N"	"detached.png"	"https://www.wordreference.com/definition/detached"
"determination"	"determination.ipa"	"determination.mp3"	"N."	"resolve; measurement or calculation; decision"	"Nothing could shake his determination that his children would get the best education that money could buy.Thanks to my pocket calculator, my determination of the answer to the problem took only seconds of my time"	"determination.png"	"https://www.wordreference.com/definition/determination"
"deterrent"	"deterrent.ipa"	"deterrent.mp3"	"N."	"something that discourages; hindrance"	"Does the threat of capital punishment serve as a deterrent to potential killers? also ADJ"	"deterrent.png"	"https://www.wordreference.com/definition/deterrent"
"detraction"	"detraction.ipa"	"detraction.mp3"	"N."	"slandering; aspersion"	"Because Susan B.Anthony and Elizabeth Cady Stanton dared to fight for women&rsquo;s rights, their motives, manners, dress, personal appearance, and character were held up to ridicule and detraction"	"detraction.png"	"https://www.wordreference.com/definition/detraction"
"detrimental"	"detrimental.ipa"	"detrimental.mp3"	"ADJ."	"harmful; damaging"	"The candidate&rsquo;s acceptance of major financial contributions from a well-known racist ultimately proved detrimental to his campaign, for he lost the backing of many of his early grassroots supporters.detriment, N"	"detrimental.png"	"https://www.wordreference.com/definition/detrimental"
"deviate"	"deviate.ipa"	"deviate.mp3"	"V."	"turn away from (a principle, norm); depart; diverge"	"Richard never deviated from his daily routine: every day he set off for work at eight o&rsquo;clock, had his sack lunch at noon, and headed home at the stroke of five"	"deviate.png"	"https://www.wordreference.com/definition/deviate"
"devious"	"devious.ipa"	"devious.mp3"	"ADJ."	"roundabout; erratic; not straightforward"	"The Joker&rsquo;s plan was so devious that it was only with great difficulty we could follow its shifts and dodges"	"devious.png"	"https://www.wordreference.com/definition/devious"
"devise"	"devise.ipa"	"devise.mp3"	"V."	"think up; invent; plan"	"How clever he must be to have devised such a devious plan! What ingenious inventions might he have devised if he had turned his mind to science rather than crime"	"devise.png"	"https://www.wordreference.com/definition/devise"
"devoid"	"devoid.ipa"	"devoid.mp3"	"ADJ."	"lacking"	"You may think Cher&rsquo;s mind is a total void, but she&rsquo;s actually not devoid of intelligence.She just sounds like an airhead"	"devoid.png"	"https://www.wordreference.com/definition/devoid"
"devolve"	"devolve.ipa"	"devolve.mp3"	"devolved"	"v"	"Because Humpty Dumpty was too shattered by his fall to clean up his own mess, all the work of picking up the pieces devolved upon poor Alice"	"devolve.png"	"https://www.wordreference.com/definition/devolve"
"devotee"	"devotee.ipa"	"devotee.mp3"	"N."	"enthusiastic follower"	"A devotee of the opera, she bought season tickets every year"	"devotee.png"	"https://www.wordreference.com/definition/devotee"
"devout"	"devout.ipa"	"devout.mp3"	"ADJ."	"pious"	"The devout man prayed daily"	"devout.png"	"https://www.wordreference.com/definition/devout"
"dexterous"	"dexterous.ipa"	"dexterous.mp3"	"ADJ."	"skillful"	"The magician was so dexterous that we could not follow his movements as he performed his tricks"	"dexterous.png"	"https://www.wordreference.com/definition/dexterous"
"diabolical"	"diabolical.ipa"	"diabolical.mp3"	"ADJ."	"devilish"	"&ldquo;What a fiend I am, to devise such a diabolical scheme to destroy Gotham City,&rdquo; chortled the Joker"	"diabolical.png"	"https://www.wordreference.com/definition/diabolical"
"dialectical"	"dialectical.ipa"	"dialectical.mp3"	"ADJ."	"relating to the art of debate; mutual or reciprocal"	"The debate coach&rsquo;s students grew to develop great forensic and dialectical skill.Teaching, however, is inherently a dialectical situation: the coach learned at least as much from her students as they learned from her.dialectics, N"	"dialectical.png"	"https://www.wordreference.com/definition/dialectical"
"diatribe"	"diatribe.ipa"	"diatribe.mp3"	"N."	"bitter scolding; invective"	"&ldquo;Luther&rsquo;s vitriolic diatribes against the Jews are part of the history that leads to Kristallnacht.&rdquo; (John Stendahl)"	"diatribe.png"	"https://www.wordreference.com/definition/diatribe"
"dichotomy"	"dichotomy.ipa"	"dichotomy.mp3"	"N."	"split; branching into two parts (especially contradictory ones)"	"Willie didn&rsquo;t know how to resolve the dichotomy between his ambition to go to college and his childhood longing to run away and join the circus.Then he heard about Ringling Brothers Circus College, and he knew he&rsquo;d found his school"	"dichotomy.png"	"https://www.wordreference.com/definition/dichotomy"
"dictum"	"dictum.ipa"	"dictum.mp3"	"N."	"authoritative and weighty statement; saying; maxim"	"University administrations still follow the old dictum &ldquo;Publish or perish.&rdquo; They don&rsquo;t care how good a teacher you are; if you don&rsquo;t publish enough papers, you&rsquo;re out of a job"	"dictum.png"	"https://www.wordreference.com/definition/dictum"
"didactic"	"didactic.ipa"	"didactic.mp3"	"ADJ."	"teaching; instructional"	"Pope&rsquo;s lengthy poem An Essay on Man is too didactic for my taste: I dislike it when poets turn preachy and moralize.didacticism, N"	"didactic.png"	"https://www.wordreference.com/definition/didactic"
"diffidence"	"diffidence.ipa"	"diffidence.mp3"	"N."	"shyness"	"You must overcome your dif&shy;fidence if you intend to become a salesperson"	"diffidence.png"	"https://www.wordreference.com/definition/diffidence"
"diffuse"	"diffuse.ipa"	"diffuse.mp3"	"ADJ."	"wordy; rambling; spread out (like a gas)"	"If you pay authors by the word, you tempt them to produce diffuse manuscripts rather than brief ones.also v.diffusion, N"	"diffuse.png"	"https://www.wordreference.com/definition/diffuse"
"digression"	"digression.ipa"	"digression.mp3"	"N."	"wandering away from the subject"	"Nobody minded when Professor Renoir&rsquo;s lectures wandered away from their official theme; his digressions were always more fascinating than the topic of the day.digress, v"	"digression.png"	"https://www.wordreference.com/definition/digression"
"dilapidated"	"dilapidated.ipa"	"dilapidated.mp3"	"ADJ."	"ruined because of neglect"	"The dilapidated old building needed far more work than just a new coat of paint.dilapidation, N"	"dilapidated.png"	"https://www.wordreference.com/definition/dilapidated"
"dilate"	"dilate.ipa"	"dilate.mp3"	"V."	"expand"	"In the dark, the pupils of your eyes dilate"	"dilate.png"	"https://www.wordreference.com/definition/dilate"
"dilatory"	"dilatory.ipa"	"dilatory.mp3"	"ADJ."	"tending to delay; intentionally delaying"	"If you are dilatory in paying your bills, your credit rating may suffer"	"dilatory.png"	"https://www.wordreference.com/definition/dilatory"
"dilemma"	"dilemma.ipa"	"dilemma.mp3"	"N."	"problem; choice of two unsatisfactory alternatives"	"Elizabeth Barrett faced a terrible dilemma: if she eloped with Robert Browning, she would be disinherited by her father; if she waited for her father&rsquo;s permission to wed, she would never marry the man she loved"	"dilemma.png"	"https://www.wordreference.com/definition/dilemma"
"dilettante"	"dilettante.ipa"	"dilettante.mp3"	"N."	"aimless follower of the arts; amateur; dabbler"	"According to Turgenev, without painstaking work, any writer or artist remains a dilettante.In an age of increasing professionalism, the terms amateur and dilettante have taken on negative connotations they did not originally possess"	"dilettante.png"	"https://www.wordreference.com/definition/dilettante"
"diligence"	"diligence.ipa"	"diligence.mp3"	"N."	"steadiness of effort; persistent hard work"	"Her employers were greatly impressed by her diligence and offered her a partnership in the firm"	"diligence.png"	"https://www.wordreference.com/definition/diligence"
"dilute"	"dilute.ipa"	"dilute.mp3"	"V."	"make less concentrated; reduce in strength"	"She preferred her coffee diluted with milk"	"dilute.png"	"https://www.wordreference.com/definition/dilute"
"diminution"	"diminution.ipa"	"diminution.mp3"	"N."	"lessening; reduction in size"	"Old Jack was as sharp at eighty as he had been at fifty; increasing age led to no diminution of his mental acuity"	"diminution.png"	"https://www.wordreference.com/definition/diminution"
"din"	"din.ipa"	"din.mp3"	"N."	"continued loud noise"	"The din of the jack&shy;hammers outside the classroom window drowned out the lecturer&rsquo;s voice.also v"	"din.png"	"https://www.wordreference.com/definition/din"
"dint"	"dint.ipa"	"dint.mp3"	"N."	"means; effort"	"By dint of much hard work, the volunteers were able to control the raging forest fire"	"dint.png"	"https://www.wordreference.com/definition/dint"
"dire"	"dire.ipa"	"dire.mp3"	"ADJ."	"disastrous"	"People ignored her dire predictions of an approaching depression"	"dire.png"	"https://www.wordreference.com/definition/dire"
"dirge"	"dirge.ipa"	"dirge.mp3"	"N."	"lament with music"	"The funeral dirge stirred us to tears"	"dirge.png"	"https://www.wordreference.com/definition/dirge"
"disabuse"	"disabuse.ipa"	"disabuse.mp3"	"V."	"correct a false impression; undeceive"	"Once Sharon started teaching junior high on the Lower East Side, she was quickly disabused of any romantic notions she had about her role"	"disabuse.png"	"https://www.wordreference.com/definition/disabuse"
"disaffected"	"disaffected.ipa"	"disaffected.mp3"	"ADJ."	"disloyal"	"Once the most loyal of Bradley&rsquo;s supporters, Senator Moynihan found himself becoming increasingly disaffected"	"disaffected.png"	"https://www.wordreference.com/definition/disaffected"
"disapprobation"	"disapprobation.ipa"	"disapprobation.mp3"	"N."	"disapproval; condemnation"	"The conservative father viewed his daughter&rsquo;s radical boyfriend with disapprobation"	"disapprobation.png"	"https://www.wordreference.com/definition/disapprobation"
"disarray"	"disarray.ipa"	"disarray.mp3"	"N."	"a disorderly or untidy state"	"After the New Year&rsquo;s party, the once orderly house was in total disarray"	"disarray.png"	"https://www.wordreference.com/definition/disarray"
"disavowal"	"disavowal.ipa"	"disavowal.mp3"	"N."	"denial; disclaiming"	"The novelist Andr&eacute; Gide was controversial both for his early support of communism and for his subsequent disavowal of it after a visit to the Soviet Union.disavow, v"	"disavowal.png"	"https://www.wordreference.com/definition/disavowal"
"disband"	"disband.ipa"	"disband.mp3"	"V."	"dissolve; disperse"	"The chess club disbanded after its disastrous initial season"	"disband.png"	"https://www.wordreference.com/definition/disband"
"disburse"	"disburse.ipa"	"disburse.mp3"	"V."	"pay out"	"When you disburse money on the company&rsquo;s behalf, be sure to get a receipt"	"disburse.png"	"https://www.wordreference.com/definition/disburse"
"discernible"	"discernible.ipa"	"discernible.mp3"	"ADJ."	"distinguishable; perceivable"	"The ships in the harbor were not discernible in the fog"	"discernible.png"	"https://www.wordreference.com/definition/discernible"
"discerning"	"discerning.ipa"	"discerning.mp3"	"ADJ."	"mentally quick and observant; having insight"	"Though no genius, the star was sufficiently discerning to distinguish her true friends from the countless phonies who flattered her.discern, v.discernment, N"	"discerning.png"	"https://www.wordreference.com/definition/discerning"
"disclaim"	"disclaim.ipa"	"disclaim.mp3"	"V."	"disown; renounce claim to"	"Maintaining the injury had occurred during an afterschool program run by outside contractors, the school disclaimed any responsibility for Santiago&rsquo;s injured wrist"	"disclaim.png"	"https://www.wordreference.com/definition/disclaim"
"disclose"	"disclose.ipa"	"disclose.mp3"	"V."	"reveal"	"Although competitors offered him bribes, he refused to disclose any information about his company&rsquo;s forthcoming product.disclosure, N"	"disclose.png"	"https://www.wordreference.com/definition/disclose"
"discombobulated"	"discombobulated.ipa"	"discombobulated.mp3"	"ADJ."	"confused; discomposed"	"The novice square dancer became so discombobulated that he wandered into the wrong set"	"discombobulated.png"	"https://www.wordreference.com/definition/discombobulated"
"discomfit"	"discomfit.ipa"	"discomfit.mp3"	"V."	"make someone feel uneasy; disconcert; thwart"	"In Coppola&rsquo;s film The Conversation, as mime Robert Shields follows people around while mimicking their gestures and gait, he discomfits a dour-looking man, who looks distinctly uncomfortable when Shields starts trailing him.discomfiture, N.discomfited, ADJ"	"discomfit.png"	"https://www.wordreference.com/definition/discomfit"
"disconcert"	"disconcert.ipa"	"disconcert.mp3"	"V."	"upset; unsettle; confuse"	"Noise, crowds, and sudden changes from routine are likely to disconcert autistic children and cause a possible meltdown"	"disconcert.png"	"https://www.wordreference.com/definition/disconcert"
"disconsolate"	"disconsolate.ipa"	"disconsolate.mp3"	"ADJ."	"sad"	"The death of his wife left him disconsolate"	"disconsolate.png"	"https://www.wordreference.com/definition/disconsolate"
"discord"	"discord.ipa"	"discord.mp3"	"N."	"conflict; lack of harmony"	"Watching Tweedledum battle Tweedledee, Alice wondered what had caused this pointless discord"	"discord.png"	"https://www.wordreference.com/definition/discord"
"discordant"	"discordant.ipa"	"discordant.mp3"	"ADJ."	"not harmonious; conflicting"	"Nothing is quite so discordant as the sound of a junior high school orchestra tuning up"	"discordant.png"	"https://www.wordreference.com/definition/discordant"
"discount"	"discount.ipa"	"discount.mp3"	"V."	"disregard"	"Be prepared to discount what he has to say about his ex-wife"	"discount.png"	"https://www.wordreference.com/definition/discount"
"discourse"	"discourse.ipa"	"discourse.mp3"	"N."	"formal discussion; conversation"	"The young Plato was drawn to the Agora to hear the philosophical discourse of Socrates and his followers.also v"	"discourse.png"	"https://www.wordreference.com/definition/discourse"
